,parameter,error,model,model1,model2
62,"{'model1_params': {'changepoint_prior_scale': 0.80851794589567, 'changepoint_range': 0.8161820504989964, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 15, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.2180713462106509}, 'model2_params': {'alpha': 0.1261060571743122}}",439.57347503521373,Hybrid,Prophet,Linear
63,"{'model1_params': {'changepoint_prior_scale': 0.6014614505315461, 'changepoint_range': 0.8624976018235997, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3226586114866821}, 'model2_params': {'alpha': 0.30141537259361717}}",283.7214809809895,Hybrid,Prophet,Linear
64,"{'model1_params': {'changepoint_prior_scale': 0.6615430969622453, 'changepoint_range': 0.8502187431881147, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 16, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.33790594000315216}, 'model2_params': {'alpha': 0.37201103645398853}}",367.1446239980894,Hybrid,Prophet,Linear
65,"{'model1_params': {'changepoint_prior_scale': 1.1516062249474062, 'changepoint_range': 0.8356603042173703, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3761226003237704}, 'model2_params': {'alpha': 0.2727190978912894}}",278.94291981324506,Hybrid,Prophet,Linear
66,"{'model1_params': {'changepoint_prior_scale': 0.7988606369312391, 'changepoint_range': 0.8602765103377452, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 16, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.29325487095196356}, 'model2_params': {'alpha': 0.5738532912154294}}",279.54965405316483,Hybrid,Prophet,Linear
67,"{'model1_params': {'changepoint_prior_scale': 0.6393796204005384, 'changepoint_range': 0.8371932288994791, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 17, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2352169823474733}, 'model2_params': {'alpha': 0.24295641344431776}}",279.10383808760696,Hybrid,Prophet,Linear
68,"{'model1_params': {'changepoint_prior_scale': 1.1061568344485027, 'changepoint_range': 0.8448474290135073, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 12, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3707705515007156}, 'model2_params': {'alpha': 0.5231206535183994}}",277.491455376102,Hybrid,Prophet,Linear
69,"{'model1_params': {'changepoint_prior_scale': 0.9155656780543122, 'changepoint_range': 0.8473485302703275, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.29176194132859523}, 'model2_params': {'alpha': 0.567520470583889}}",278.7386639181753,Hybrid,Prophet,Linear
70,"{'model1_params': {'changepoint_prior_scale': 0.6018981949992702, 'changepoint_range': 0.8458464632171616, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 12, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.24471003502170124}, 'model2_params': {'alpha': 0.5347817898585213}}",279.7738153427177,Hybrid,Prophet,Linear
71,"{'model1_params': {'changepoint_prior_scale': 0.7260444319662243, 'changepoint_range': 0.8710570649593592, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 13, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.207638586371899}, 'model2_params': {'alpha': 0.3916315892455193}}",279.9139402916625,Hybrid,Prophet,Linear
72,"{'model1_params': {'changepoint_prior_scale': 1.379832931768924, 'changepoint_range': 0.8213005151266083, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 10, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.2456489944141576}, 'model2_params': {'alpha': 0.3753451966923438}}",281.057326097846,Hybrid,Prophet,Linear
73,"{'model1_params': {'changepoint_prior_scale': 1.2804505549138094, 'changepoint_range': 0.8556703256995651, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 14, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.28612304297269725}, 'model2_params': {'alpha': 0.2915006358870207}}",419.73015113080675,Hybrid,Prophet,Linear
74,"{'model1_params': {'changepoint_prior_scale': 0.8297310933103345, 'changepoint_range': 0.8434575375922401, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.38519537153420097}, 'model2_params': {'alpha': 0.44096192932695466}}",276.80997193445063,Hybrid,Prophet,Linear
