,parameter,rmse,model
13,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 4.0, 'learning_rate': 0.08704263139034771, 'num_leaves': 40, 'min_gain_to_split': 4.256148775796142, 'subsample': 0.6751431116469938, 'colsample_bytree': 0.8510571179483223, 'colsample_bynode': 0.6269530226856022, 'reg_lambda': 0.10234437822809549, 'reg_alpha': 8.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",324.8752978959508,LGB
14,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 7, 'min_child_weight': 4.0, 'learning_rate': 0.06578871362043676, 'num_leaves': 40, 'min_gain_to_split': 2.0741832617325784, 'subsample': 0.7775179915459196, 'colsample_bytree': 0.8041151696766331, 'colsample_bynode': 0.6739017407211824, 'reg_lambda': 0.1085550229949656, 'reg_alpha': 38.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",329.65182175072994,LGB
15,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 6.0, 'learning_rate': 0.08098606652440819, 'num_leaves': 120, 'min_gain_to_split': 4.034625160666751, 'subsample': 0.7687164643461953, 'colsample_bytree': 0.8073218311391326, 'colsample_bynode': 0.6723400829040675, 'reg_lambda': 0.2751053048596625, 'reg_alpha': 26.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",309.26629615022546,LGB
16,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 7, 'min_child_weight': 8.0, 'learning_rate': 0.15082299960157428, 'num_leaves': 80, 'min_gain_to_split': 6.451821273903558, 'subsample': 0.7056021115673092, 'colsample_bytree': 0.7278185530245671, 'colsample_bynode': 0.5377563296750283, 'reg_lambda': 0.4310126674351995, 'reg_alpha': 55.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",334.2407802506548,LGB
17,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 5.0, 'learning_rate': 0.07956596108956594, 'num_leaves': 170, 'min_gain_to_split': 4.5560033552747505, 'subsample': 0.7502478303708422, 'colsample_bytree': 0.8418397349571242, 'colsample_bynode': 0.7397103262931775, 'reg_lambda': 0.3588304172591464, 'reg_alpha': 36.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",310.9363232003346,LGB
18,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 7.0, 'learning_rate': 0.040476554523600376, 'num_leaves': 110, 'min_gain_to_split': 2.7336737129890265, 'subsample': 0.7279439310602587, 'colsample_bytree': 0.8521601293463564, 'colsample_bynode': 0.6825320414998267, 'reg_lambda': 0.4110990226861967, 'reg_alpha': 32.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",313.91234347355794,LGB
19,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 5.0, 'learning_rate': 0.0837788619392322, 'num_leaves': 70, 'min_gain_to_split': 3.6563119846423042, 'subsample': 0.7037118397649758, 'colsample_bytree': 0.8460178544545317, 'colsample_bynode': 0.6619974356304781, 'reg_lambda': 0.23367390491269535, 'reg_alpha': 30.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",313.2683378187017,LGB
20,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 4, 'min_child_weight': 4.0, 'learning_rate': 0.041616238862694485, 'num_leaves': 70, 'min_gain_to_split': 2.4628539633204403, 'subsample': 0.7848745568410489, 'colsample_bytree': 0.7753572498521617, 'colsample_bynode': 0.6380164271931372, 'reg_lambda': 0.1160399561618215, 'reg_alpha': 24.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",311.0832314358763,LGB
21,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 6.0, 'learning_rate': 0.06803745254972353, 'num_leaves': 110, 'min_gain_to_split': 3.5406138444013595, 'subsample': 0.6776913015781619, 'colsample_bytree': 0.7853679985753733, 'colsample_bynode': 0.650946950612111, 'reg_lambda': 0.37537117175877516, 'reg_alpha': 40.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",316.5267282755746,LGB
22,"{'boosting': 'dart', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 4.0, 'learning_rate': 0.05980315202960007, 'num_leaves': 160, 'min_gain_to_split': 3.7882939367244903, 'subsample': 0.7147890487303417, 'colsample_bytree': 0.8046965435828175, 'colsample_bynode': 0.7772885545362318, 'reg_lambda': 0.30105984215460874, 'reg_alpha': 45.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",315.45358571995905,LGB
