,parameter,rmse,model
60,"{'alpha': 0.3942168127559267, 'cyclic_feature_encoding': 'onehot'}",294.1586350743148,Linear
61,"{'alpha': 0.281636489242246, 'cyclic_feature_encoding': 'sincos'}",291.37101868170635,Linear
62,"{'alpha': 0.25250357288816666, 'cyclic_feature_encoding': 'sincos'}",290.9728246716108,Linear
63,"{'alpha': 0.2972355113374749, 'cyclic_feature_encoding': 'sincos'}",291.56170537316683,Linear
64,"{'alpha': 0.3161094276989684, 'cyclic_feature_encoding': 'sincos'}",291.7506019384428,Linear
65,"{'alpha': 0.4118718834860814, 'cyclic_feature_encoding': 'sincos'}",292.28025079192935,Linear
66,"{'alpha': 0.26167967563601474, 'cyclic_feature_encoding': 'sincos'}",291.0605131721002,Linear
67,"{'alpha': 0.19501495277925873, 'cyclic_feature_encoding': 'sincos'}",291.34478843383675,Linear
68,"{'alpha': 0.4040761489184171, 'cyclic_feature_encoding': 'sincos'}",292.23998944109564,Linear
69,"{'alpha': 0.16361183253596878, 'cyclic_feature_encoding': 'sincos'}",292.58500422506967,Linear
70,"{'alpha': 0.1945859815526606, 'cyclic_feature_encoding': 'sincos'}",291.360796705792,Linear
71,"{'alpha': 0.15630993956506473, 'cyclic_feature_encoding': 'sincos'}",292.91882385217735,Linear
72,"{'alpha': 0.13007580126368284, 'cyclic_feature_encoding': 'sincos'}",293.7532577768625,Linear
73,"{'alpha': 0.2903032078805863, 'cyclic_feature_encoding': 'sincos'}",291.48326694266495,Linear
74,"{'alpha': 0.23696521682913896, 'cyclic_feature_encoding': 'sincos'}",290.820055713261,Linear
75,"{'alpha': 0.17426504191630174, 'cyclic_feature_encoding': 'onehot'}",294.498394989224,Linear
76,"{'alpha': 0.14082833395649022, 'cyclic_feature_encoding': 'sincos'}",293.4716380969606,Linear
77,"{'alpha': 0.22098232905701792, 'cyclic_feature_encoding': 'sincos'}",290.75361806635397,Linear
78,"{'alpha': 0.22983938019942088, 'cyclic_feature_encoding': 'sincos'}",290.7660506611442,Linear
79,"{'alpha': 0.19196648966654278, 'cyclic_feature_encoding': 'sincos'}",291.4308602722633,Linear
80,"{'alpha': 0.1428056677381544, 'cyclic_feature_encoding': 'sincos'}",293.40968604230153,Linear
81,"{'alpha': 0.24528964448774823, 'cyclic_feature_encoding': 'sincos'}",290.8974618630946,Linear
82,"{'alpha': 0.23832435390001258, 'cyclic_feature_encoding': 'sincos'}",290.82798072078543,Linear
83,"{'alpha': 0.21011172959956811, 'cyclic_feature_encoding': 'sincos'}",290.94896675588484,Linear
84,"{'alpha': 0.30592677451978995, 'cyclic_feature_encoding': 'sincos'}",291.6589485799709,Linear
85,"{'alpha': 0.18372972520673236, 'cyclic_feature_encoding': 'sincos'}",291.7367714744274,Linear
86,"{'alpha': 0.16931199470586322, 'cyclic_feature_encoding': 'sincos'}",292.36944444675794,Linear
87,"{'alpha': 0.35096947471850165, 'cyclic_feature_encoding': 'sincos'}",292.0376006669118,Linear
88,"{'alpha': 0.24987366982494338, 'cyclic_feature_encoding': 'sincos'}",290.94871751031053,Linear
89,"{'alpha': 0.17408287182497562, 'cyclic_feature_encoding': 'sincos'}",292.1688075954527,Linear
90,"{'alpha': 0.28194539593729695, 'cyclic_feature_encoding': 'sincos'}",291.3757449335777,Linear
91,"{'alpha': 0.2582838613460426, 'cyclic_feature_encoding': 'onehot'}",294.1945830806833,Linear
92,"{'alpha': 0.21848466310926395, 'cyclic_feature_encoding': 'sincos'}",290.7713780946017,Linear
93,"{'alpha': 0.27543452330441953, 'cyclic_feature_encoding': 'sincos'}",291.28030145047006,Linear
94,"{'alpha': 0.17306250005399584, 'cyclic_feature_encoding': 'sincos'}",292.2137766821176,Linear
95,"{'alpha': 0.2050507280151802, 'cyclic_feature_encoding': 'sincos'}",291.07432162120676,Linear
96,"{'alpha': 0.28181394890077915, 'cyclic_feature_encoding': 'sincos'}",291.3737327618164,Linear
97,"{'alpha': 0.31330717988331974, 'cyclic_feature_encoding': 'sincos'}",291.73706696953263,Linear
98,"{'alpha': 0.16646871655720127, 'cyclic_feature_encoding': 'sincos'}",292.4650685878212,Linear
99,"{'alpha': 0.2857023445205579, 'cyclic_feature_encoding': 'sincos'}",291.4341501560408,Linear
