,model,count,time,time (min),time (h)
0,LGB,13,4578.893441915512,76.31489069859187,1.2719148449765312
1,Linear,81,18444.587012290955,307.4097835381826,5.123496392303043
2,Prophet,6,621.490617275238,10.3581769545873,0.172636282576455
