,parameter,rmse,model
31,"{'alpha': 0.3057179546882364, 'cyclic_feature_encoding': 'sincos'}",291.65644475192613,Linear
32,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 4.0, 'learning_rate': 0.15848453738578738, 'num_leaves': 170, 'min_gain_to_split': 4.387813044802487, 'subsample': 0.808779709092189, 'colsample_bytree': 0.8494531124498061, 'colsample_bynode': 0.8115752526644954, 'reg_lambda': 0.6078088967730216, 'reg_alpha': 51.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",332.46198863380164,LGB
33,"{'alpha': 0.34429955609431184, 'cyclic_feature_encoding': 'sincos'}",292.0111607393911,Linear
34,"{'alpha': 1.2300305808735088, 'cyclic_feature_encoding': 'sincos'}",298.8003824887118,Linear
35,"{'alpha': 0.7247050878552862, 'cyclic_feature_encoding': 'sincos'}",294.45840585989373,Linear
36,"{'alpha': 0.9857283941362543, 'cyclic_feature_encoding': 'sincos'}",296.88282247962707,Linear
37,"{'changepoint_prior_scale': 0.014580650578595568, 'changepoint_range': 0.6816816720464542, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 24, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.45101752868162287}",500.1621817054972,Prophet
38,"{'alpha': 0.5767368302164179, 'cyclic_feature_encoding': 'sincos'}",293.20375582283145,Linear
39,"{'alpha': 0.10207526871340884, 'cyclic_feature_encoding': 'sincos'}",294.64892130325876,Linear
40,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 2, 'min_child_weight': 6.0, 'learning_rate': 0.0684267595891393, 'num_leaves': 170, 'min_gain_to_split': 2.969096031081994, 'subsample': 0.6991605862641636, 'colsample_bytree': 0.7024504036400707, 'colsample_bynode': 0.6555892981790943, 'reg_lambda': 0.5808327885581263, 'reg_alpha': 17.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",329.29714208129974,LGB
41,"{'alpha': 0.10013211458365494, 'cyclic_feature_encoding': 'sincos'}",294.70137766834716,Linear
42,"{'alpha': 0.33265477230172763, 'cyclic_feature_encoding': 'sincos'}",291.90386260129253,Linear
43,"{'alpha': 0.9639596094676114, 'cyclic_feature_encoding': 'sincos'}",296.71816228135316,Linear
44,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 7.0, 'learning_rate': 0.12898266866681563, 'num_leaves': 100, 'min_gain_to_split': 3.6193681894230316, 'subsample': 0.7845923173414684, 'colsample_bytree': 0.8132051808923201, 'colsample_bynode': 0.7381337018216526, 'reg_lambda': 0.6915537954925749, 'reg_alpha': 4.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",341.83799313870986,LGB
45,"{'alpha': 0.46204408154524607, 'cyclic_feature_encoding': 'sincos'}",292.6140006828409,Linear
46,"{'alpha': 0.14847972505811266, 'cyclic_feature_encoding': 'sincos'}",293.2290999882352,Linear
47,"{'alpha': 0.11935316353222306, 'cyclic_feature_encoding': 'sincos'}",294.0784870261666,Linear
48,"{'alpha': 0.47424395931126173, 'cyclic_feature_encoding': 'sincos'}",292.6953133175988,Linear
49,"{'alpha': 0.18411887091871545, 'cyclic_feature_encoding': 'sincos'}",291.72017354737494,Linear
50,"{'alpha': 0.17081532608652764, 'cyclic_feature_encoding': 'sincos'}",292.3110755872145,Linear
51,"{'alpha': 0.14814552987493193, 'cyclic_feature_encoding': 'sincos'}",293.2406940179825,Linear
52,"{'boosting': 'gbdt', 'objective': 'rmse', 'max_depth': 3, 'min_child_weight': 1.0, 'learning_rate': 0.054526644507069476, 'num_leaves': 230, 'min_gain_to_split': 3.69448173633673, 'subsample': 0.7513394016495554, 'colsample_bytree': 0.7244237646245422, 'colsample_bynode': 0.7413429753739174, 'reg_lambda': 0.7715682158598935, 'reg_alpha': 18.0, 'bagging_freq': 1, 'force_col_wise': True, 'metric': 'rmse', 'verbose': -1}",327.80684188215713,LGB
