,parameter,rmse,model
22,"{'changepoint_prior_scale': 1.0004337223790678, 'changepoint_range': 0.5646403469422696, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.06340683806979322}",407.206927982072,Prophet
23,"{'changepoint_prior_scale': 2.511923657860895, 'changepoint_range': 0.6828426835406903, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 36, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.1670444886359806}",569.6159633944485,Prophet
24,"{'changepoint_prior_scale': 3.7679642777835096, 'changepoint_range': 0.5964095177223077, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 40, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.162728917888729}",498.3211473237839,Prophet
25,"{'changepoint_prior_scale': 0.8942464132271278, 'changepoint_range': 0.5917100679878665, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 39, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.10945458021046012}",411.39280390294704,Prophet
26,"{'changepoint_prior_scale': 0.7364991319748165, 'changepoint_range': 0.577779215818108, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 38, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.11167880531602446}",402.4434158215156,Prophet
27,"{'changepoint_prior_scale': 0.7729840521463569, 'changepoint_range': 0.6208385375152686, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.21162530610008537}",409.9487493678338,Prophet
28,"{'changepoint_prior_scale': 0.7906553168256274, 'changepoint_range': 0.6207594408653295, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.16544713621908125}",419.326748685659,Prophet
29,"{'changepoint_prior_scale': 2.922878957629713, 'changepoint_range': 0.5488785381729585, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 47, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3235068106720409}",370.80052393258103,Prophet
30,"{'changepoint_prior_scale': 0.6327667167608588, 'changepoint_range': 0.6607763849335174, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 36, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.3115228990979307}",525.4531877474751,Prophet
31,"{'changepoint_prior_scale': 1.372976783559157, 'changepoint_range': 0.5968345058516747, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 45, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5140185464725405}",374.22646524736274,Prophet
32,"{'changepoint_prior_scale': 0.9374629505305578, 'changepoint_range': 0.6095651482236167, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 43, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.9596408093017427}",367.02259627085283,Prophet
33,"{'changepoint_prior_scale': 0.878721471828772, 'changepoint_range': 0.6521074759817224, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.6369008203156625}",391.37765168039573,Prophet
34,"{'changepoint_prior_scale': 1.9444789082438245, 'changepoint_range': 0.6012994163060187, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 49, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.262480052559753}",396.67045591229,Prophet
35,"{'changepoint_prior_scale': 1.469496095698469, 'changepoint_range': 0.5751758386342491, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 48, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.19405113320664485}",390.1599701969409,Prophet
