,time,model
0,83.97252297401428,Prophet
1,84.44770383834839,Prophet
2,163.17382907867432,Prophet
3,70.88753199577332,Prophet
4,127.34414887428284,Prophet
5,93.21817278862,Prophet
6,188.673978805542,Prophet
7,134.69591999053955,Prophet
8,123.86633610725403,Prophet
9,203.30578875541687,Prophet
10,132.00099205970764,Prophet
11,147.82040238380432,Prophet
12,93.82418084144592,Prophet
13,146.17341899871826,Prophet
14,168.40473699569702,Prophet
15,190.31039786338806,Prophet
16,242.37349486351013,Prophet
17,186.9508171081543,Prophet
18,228.72316002845764,Prophet
19,198.23712420463562,Prophet
20,184.87399101257324,Prophet
21,105.74828124046326,Prophet
22,193.55639386177063,Prophet
23,204.09163093566895,Prophet
24,189.54250407218933,Prophet
25,213.46824502944946,Prophet
26,189.63442730903625,Prophet
27,158.54663968086243,Prophet
28,171.7104959487915,Prophet
29,197.39969730377197,Prophet
30,104.84496116638184,Prophet
31,181.33275532722473,Prophet
32,225.4396641254425,Prophet
33,223.57808208465576,Prophet
34,247.18827104568481,Prophet
35,305.31069588661194,Prophet
36,249.2097179889679,Prophet
37,149.65623903274536,Prophet
38,172.2208559513092,Prophet
39,176.588791847229,Prophet
40,163.68973994255066,Prophet
41,155.10940289497375,Prophet
42,197.71251726150513,Prophet
43,178.82050371170044,Prophet
44,217.3128740787506,Prophet
45,188.49330115318298,Prophet
46,174.63523507118225,Prophet
47,179.00584077835083,Prophet
48,154.12586903572083,Prophet
49,171.57140183448792,Prophet
50,168.8880000114441,Prophet
51,209.94431400299072,Prophet
52,171.78059005737305,Prophet
53,125.53583812713623,Prophet
54,146.66940999031067,Prophet
55,181.47616291046143,Prophet
56,180.55905079841614,Prophet
57,189.06316304206848,Prophet
58,172.06631112098694,Prophet
59,191.6316201686859,Prophet
60,184.4625952243805,Prophet
61,192.7117989063263,Prophet
62,161.30715799331665,Prophet
63,188.0436749458313,Prophet
64,170.9629020690918,Prophet
65,203.6178548336029,Prophet
66,185.89352989196777,Prophet
67,216.0048861503601,Prophet
68,223.56858587265015,Prophet
69,214.4577760696411,Prophet
70,188.56575393676758,Prophet
71,199.75582599639893,Prophet
72,216.62577104568481,Prophet
73,180.744473695755,Prophet
74,137.051931142807,Prophet
75,164.33718180656433,Prophet
76,218.3180799484253,Prophet
77,189.2634539604187,Prophet
78,177.5683491230011,Prophet
79,192.87933897972107,Prophet
80,203.72096800804138,Prophet
81,222.38834309577942,Prophet
82,212.09059405326843,Prophet
83,184.19612097740173,Prophet
84,199.02502608299255,Prophet
85,208.20357704162598,Prophet
86,236.2734079360962,Prophet
87,223.822252035141,Prophet
88,173.86006593704224,Prophet
89,198.55350494384766,Prophet
90,175.5022211074829,Prophet
91,196.89187574386597,Prophet
92,186.50333714485168,Prophet
93,190.333918094635,Prophet
94,213.09295272827148,Prophet
95,180.3245451450348,Prophet
96,161.44998693466187,Prophet
97,116.57270407676697,Prophet
98,176.91073298454285,Prophet
99,197.76775979995728,Prophet
