,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
35,"{'alpha': 0.028148450727336422, 'cyclic_feature_encoding': 'onehot'}",293.55386056753935,99657.32046619599,227.17748469768554,0.12285836554330601,117.76541462163883,93656.306605316,77.41044338875632,0.052244655218373785,Linear
36,"{'alpha': 0.33959397063994484, 'cyclic_feature_encoding': 'sincos'}",291.97124840543097,100903.2311671949,224.20961851383876,0.1190546956188593,126.89892105628061,101494.58154258574,84.03736173648306,0.05404468812242081,Linear
37,"{'alpha': 0.6495967388986537, 'cyclic_feature_encoding': 'sincos'}",293.75147205239966,102181.78853270588,226.84336584977197,0.12003967011745588,127.85114147667983,102327.953765133,83.96623551365249,0.05248519316658295,Linear
38,"{'alpha': 0.7718088628686938, 'cyclic_feature_encoding': 'sincos'}",294.9338920273302,102917.31891584011,228.0852535854967,0.1206127945680809,128.00976045155343,102409.43266784013,84.00216058102397,0.05209002164420848,Linear
39,"{'alpha': 0.4595826525376368, 'cyclic_feature_encoding': 'sincos'}",292.5940798724082,101368.06576502864,225.22423304903697,0.11928357909970705,127.30657336763399,101753.96388932267,83.86899467160929,0.05321454133864346,Linear
40,"{'alpha': 7.147973716762794, 'cyclic_feature_encoding': 'sincos'}",317.75093898966327,114622.27901169607,248.74249390227857,0.13591430251043415,118.51923438639479,92100.12007223326,84.92714354226376,0.05454432359517103,Linear
41,"{'alpha': 0.8933979861610131, 'cyclic_feature_encoding': 'sincos'}",296.15836429331716,103651.13228083326,229.2408309096148,0.12121166048434345,128.05007942629823,102404.36871649104,83.94847424316082,0.05179993690599967,Linear
42,"{'alpha': 0.003318073040551023, 'cyclic_feature_encoding': 'onehot'}",296.4561572990094,101949.91777433209,229.86589935372837,0.12426089131899497,120.27253868469339,95317.89351084862,79.1466979885351,0.05280164980978806,Linear
43,"{'alpha': 0.464965809010357, 'cyclic_feature_encoding': 'sincos'}",292.63407499980747,101395.65764026408,225.27768504212202,0.11930221092151,127.32348099161322,101778.98725258555,83.86909484909984,0.053178427031324235,Linear
44,"{'alpha': 0.0228306420756675, 'cyclic_feature_encoding': 'sincos'}",295.4347318793514,102410.59230218077,227.81479232731388,0.12273849412023169,124.74440314453693,105698.29171557461,82.84589337672533,0.05620161011126691,Linear
45,"{'alpha': 0.3117906388575678, 'cyclic_feature_encoding': 'onehot'}",294.2897734201859,101884.1229535057,226.87218827459571,0.12125801658144002,125.35611896819034,99919.55304905046,81.3305964353444,0.05212748466983694,Linear
46,"{'alpha': 0.001021747909145174, 'cyclic_feature_encoding': 'onehot'}",305.95796726436197,108158.66046122326,237.99577799868132,0.1289169455077854,122.32763713341838,99655.57688452837,79.79084454707518,0.05317428525679945,Linear
47,"{'alpha': 0.06057058618111826, 'cyclic_feature_encoding': 'onehot'}",293.22795644090615,100027.12987817783,226.6406903919591,0.12232056068780982,120.19054346305315,95249.15053413961,78.65731287349652,0.05224964880007193,Linear
48,"{'alpha': 0.04448421037764961, 'cyclic_feature_encoding': 'sincos'}",294.8688221482547,102380.26580549477,227.3454280263427,0.12228326276594559,125.99038138958353,105822.55607886221,83.6954937426495,0.056242037829311656,Linear
49,"{'alpha': 4.066995397715386, 'cyclic_feature_encoding': 'onehot'}",301.4872700397222,105660.05985358865,233.94887318289818,0.12363761905170459,123.23699477870515,96139.95257187287,84.62515276148179,0.05067792737608893,Linear
