,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
21,"{'boosting': 'gbdt', 'colsample_bynode': 0.5214093619736291, 'colsample_bytree': 0.6895891624390074, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.01753411978256102, 'max_depth': 3, 'min_child_weight': 8, 'min_gain_to_split': 3.9969572781694396, 'num_leaves': 190, 'reg_alpha': 63, 'reg_lambda': 0.5686593594694525, 'subsample': 0.5520530203393345}",327.19765919218014,122306.57790155044,254.09327846407007,0.1331994441871308,125.23551640757277,108484.5807425485,82.81728356827769,0.045956513027410176,LGB
22,"{'boosting': 'dart', 'colsample_bynode': 0.57224231137496, 'colsample_bytree': 0.751250726090215, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.014353527969203628, 'max_depth': 8, 'min_child_weight': 4, 'min_gain_to_split': 7.534927220620505, 'num_leaves': 70, 'reg_alpha': 29, 'reg_lambda': 0.4904387954301841, 'subsample': 0.5045393975289962}",361.9943532712869,155501.15639242492,276.6601243088498,0.13171511098422797,158.61947325205648,154628.3780573045,113.2643228116018,0.041337428825516324,LGB
23,"{'boosting': 'dart', 'colsample_bynode': 0.7458093614043676, 'colsample_bytree': 0.747169817689611, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.7154829664750539, 'max_depth': 3, 'min_child_weight': 1, 'min_gain_to_split': 7.555155608586189, 'num_leaves': 210, 'reg_alpha': 68, 'reg_lambda': 0.8456929355795253, 'subsample': 0.5796027048185868}",350.98301517248177,133260.05355933204,284.37696758049424,0.15938845649366756,101.77779133436529,87987.37171896125,76.5323550867792,0.05262022110096154,LGB
24,"{'boosting': 'gbdt', 'colsample_bynode': 0.80696490268403, 'colsample_bytree': 0.650774542891586, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.04172988937916492, 'max_depth': 3, 'min_child_weight': 1, 'min_gain_to_split': 8.779503596006924, 'num_leaves': 170, 'reg_alpha': 87, 'reg_lambda': 0.09123433674720471, 'subsample': 0.727452019883861}",322.75951108146273,121301.42906007104,248.79316667229645,0.1310599492968142,132.72938897244399,120116.21634460494,86.07471083237658,0.04767715229360617,LGB
25,"{'boosting': 'dart', 'colsample_bynode': 0.5972884706643473, 'colsample_bytree': 0.5398935661956082, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.620520992009125, 'max_depth': 2, 'min_child_weight': 1, 'min_gain_to_split': 0.9716813186277073, 'num_leaves': 90, 'reg_alpha': 83, 'reg_lambda': 0.8669554387151645, 'subsample': 0.5127094262154237}",441.6139750164082,207832.12536249292,357.84949683889016,0.2016880840008153,114.78327498591247,113259.88928878582,94.69916510535398,0.06538633175929837,LGB
26,"{'boosting': 'dart', 'colsample_bynode': 0.6651500542632482, 'colsample_bytree': 0.5188273487533752, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.16152099499869216, 'max_depth': 8, 'min_child_weight': 4, 'min_gain_to_split': 3.2204645224066466, 'num_leaves': 30, 'reg_alpha': 87, 'reg_lambda': 0.4781077877194785, 'subsample': 0.6399719817359999}",314.7453121882965,114604.17910395554,245.1729422602702,0.1274715780815373,126.42608593167375,111676.06867634093,83.75041755070431,0.047547206323374655,LGB
27,"{'boosting': 'dart', 'colsample_bynode': 0.7476283931314157, 'colsample_bytree': 0.8009492438594542, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.5628614937413798, 'max_depth': 5, 'min_child_weight': 9, 'min_gain_to_split': 0.31632339017225175, 'num_leaves': 260, 'reg_alpha': 93, 'reg_lambda': 0.25097863336755666, 'subsample': 0.6437677849197434}",312.1085754075045,111142.97321126159,242.67748987566787,0.12738754507133795,118.84246153878905,103944.24621748191,77.32017163469662,0.044267379670225204,LGB
28,"{'boosting': 'gbdt', 'colsample_bynode': 0.8184319512781215, 'colsample_bytree': 0.5047805572524744, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.023676877647752347, 'max_depth': 5, 'min_child_weight': 3, 'min_gain_to_split': 9.785436992855104, 'num_leaves': 30, 'reg_alpha': 53, 'reg_lambda': 0.0033014547477233647, 'subsample': 0.7149576627113036}",326.48923100890363,123274.53330495159,247.9535139127666,0.12831891805322573,130.98040772202626,117662.49731261202,79.34541993102302,0.04437160427182482,LGB
29,"{'boosting': 'gbdt', 'colsample_bynode': 0.8529802076586492, 'colsample_bytree': 0.5573644620912207, 'cyclic_feature_encoding': 'onehot', 'learning_rate': 0.33400374558428403, 'max_depth': 2, 'min_child_weight': 8, 'min_gain_to_split': 2.738120043170429, 'num_leaves': 240, 'reg_alpha': 27, 'reg_lambda': 0.13100210495073306, 'subsample': 0.824257410294529}",389.9543923941139,167675.5636726885,311.8269286579495,0.1746813602297671,126.71688115165986,115725.91388064568,93.82785686767804,0.06398438898309605,LGB
30,"{'boosting': 'gbdt', 'colsample_bynode': 0.5280015719269994, 'colsample_bytree': 0.5416827490910224, 'cyclic_feature_encoding': 'sincos', 'learning_rate': 0.02082809501714987, 'max_depth': 4, 'min_child_weight': 7, 'min_gain_to_split': 5.106053819507764, 'num_leaves': 160, 'reg_alpha': 33, 'reg_lambda': 0.4727161461834155, 'subsample': 0.5232751505485427}",318.96058955021766,116109.2554251544,245.77612567023846,0.1295872952458134,121.58974564394238,104095.04249452299,75.57882720555399,0.04378529737699614,LGB
