,parameter,rmse_mean,mse_mean,mae_mean,mape_mean,rmse_std,mse_std,mae_std,mape_std,model
30,"{'changepoint_prior_scale': 0.03080545989950374, 'changepoint_range': 0.8701788961932804, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 32, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.050382295421283745}",511.42222443541624,283642.8661066274,434.1517645653201,0.23096359834751773,150.7359356685627,160690.99527856256,146.72267747676116,0.05980757348950405,Prophet
31,"{'changepoint_prior_scale': 0.03885291006262973, 'changepoint_range': 0.6983803900501462, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 19, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.05547240887293769}",597.8079957899071,399390.0761423602,515.8770893511763,0.24711904203025192,207.88488210219538,257395.2716453777,198.84661142308605,0.07422918215431554,Prophet
32,"{'changepoint_prior_scale': 0.17440917182638158, 'changepoint_range': 0.5855595640027618, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 44, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.666953620953618}",496.09288483461376,277296.9516351882,429.9651604577305,0.23159339899321113,179.1086537799028,182208.6219380426,171.60034177590788,0.08080591426789105,Prophet
33,"{'changepoint_prior_scale': 0.01258408403084127, 'changepoint_range': 0.6020572007200387, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 7, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 6.23534006356065}",441.4527946402607,217138.84850995208,372.89710439559826,0.2001980358551886,151.3083918089345,139979.23248354872,140.11177725397087,0.0667661952892008,Prophet
34,"{'changepoint_prior_scale': 0.046702276098778944, 'changepoint_range': 0.8487981525115831, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 32, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.0884934342567589}",525.7499297803631,300651.3775547488,448.9436500933591,0.2382595537703439,157.89526366414174,172575.7261326072,153.93680584644653,0.06268484805735343,Prophet
35,"{'changepoint_prior_scale': 0.033693963276808014, 'changepoint_range': 0.8761584309150381, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 42, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.09036864587867958}",608.187965262927,409006.6926953066,532.6892760458855,0.28079738318840136,200.57825674550455,248342.8873584663,198.02255171635878,0.08559839311586434,Prophet
36,"{'changepoint_prior_scale': 2.9380895769630695, 'changepoint_range': 0.7388480799930738, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 18, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.515011259258521}",504.71246497551107,292642.0428760959,435.40259622497723,0.20752015114798775,197.45996633530018,210736.12686910536,187.53349387283575,0.07421376257105847,Prophet
37,"{'changepoint_prior_scale': 0.11136485580658759, 'changepoint_range': 0.619428760780918, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 1.5015280009002212}",485.66776138729216,258264.00001670068,405.5031159274161,0.20022522265002038,151.75824010268568,160516.62269982012,139.84692928200084,0.04517407128117143,Prophet
38,"{'changepoint_prior_scale': 0.05519402245974205, 'changepoint_range': 0.5341540465866392, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 15, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.34617242117106123}",429.1218259223366,197806.15283019678,346.9697845995361,0.18016165738181208,118.53655355470462,110022.626986941,105.08396152048189,0.038843953840395934,Prophet
39,"{'changepoint_prior_scale': 0.4019980980098202, 'changepoint_range': 0.7715101299238871, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 41, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.42861646262806197}",538.0793600818814,327658.64246293495,473.56901220248955,0.2554658486178195,198.03699580814884,215930.02478119632,192.23441476186832,0.09047690978857963,Prophet
40,"{'changepoint_prior_scale': 1.17608144927437, 'changepoint_range': 0.7960658228412628, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 36, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.024156421033828705}",552.8159353690464,334138.69652726635,476.68866049919484,0.25195309002048843,171.31396179073045,195876.07246117975,167.66544082011512,0.06880700330719382,Prophet
41,"{'changepoint_prior_scale': 2.995821324976647, 'changepoint_range': 0.5887842732119464, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 28, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.9023652149931273}",508.46466146712714,280397.6743678335,431.3602058858567,0.229594170814159,149.95323524831844,159018.57406845785,145.60820904708353,0.05961319023776456,Prophet
42,"{'changepoint_prior_scale': 1.2353318361759729, 'changepoint_range': 0.6101048152214718, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 8, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.13766380301763084}",560.7619099955372,356895.8656762258,496.64179399603927,0.2680239297648207,208.93676795198678,235630.26316850944,204.05885454431345,0.09672818732809328,Prophet
43,"{'changepoint_prior_scale': 1.2672895498529513, 'changepoint_range': 0.6992838729476141, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 26, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.09752833268703748}",556.8351569906795,338980.5961862589,480.75506313934875,0.25404239867133743,172.4568143470183,198369.42372917096,168.770025562548,0.0691225689851778,Prophet
44,"{'changepoint_prior_scale': 0.1393190787600079, 'changepoint_range': 0.6342870744337112, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 22, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.35964746563378114}",544.9056540476672,335987.2717228676,480.5382089888992,0.2592537703494522,200.45260193237394,220680.5457056458,195.01881627799835,0.09178237998081966,Prophet
45,"{'changepoint_prior_scale': 1.3671921766601969, 'changepoint_range': 0.6943210970840636, 'cyclic_feature_encoding': 'sincos', 'growth': 'linear', 'n_changepoints': 37, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.018551024944741354}",619.4096174606212,430232.93515121925,536.6503553833628,0.25609456874291026,218.8494455847426,279169.6738209496,210.44438010793118,0.08028005548155452,Prophet
46,"{'changepoint_prior_scale': 1.568431870181256, 'changepoint_range': 0.7884461746089166, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 7, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.5609784690433055}",542.1669814054482,338044.01272443874,473.18790033847745,0.2249584976258997,212.97640190762584,240362.8936777904,205.86456432477772,0.08371214405193325,Prophet
47,"{'changepoint_prior_scale': 0.7688603304812672, 'changepoint_range': 0.5227798395321106, 'cyclic_feature_encoding': 'onehot', 'growth': 'logistic', 'n_changepoints': 42, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.18389891611919076}",354.59361228917214,139687.71921470994,284.27743401727724,0.14813368930863494,119.79019947789014,95367.1603671241,95.69304306938876,0.049593785346485945,Prophet
48,"{'changepoint_prior_scale': 0.14357017977715456, 'changepoint_range': 0.8772575647533809, 'cyclic_feature_encoding': 'sincos', 'growth': 'logistic', 'n_changepoints': 28, 'seasonality_mode': 'multiplicative', 'seasonality_prior_scale': 0.1322888178942116}",527.8874980706058,307686.4660613818,447.7721842378223,0.21717086260359775,172.77278191039292,195889.8752667945,161.58189579696372,0.05436296584610143,Prophet
49,"{'changepoint_prior_scale': 0.017410262814240924, 'changepoint_range': 0.5415829438142574, 'cyclic_feature_encoding': 'onehot', 'growth': 'linear', 'n_changepoints': 24, 'seasonality_mode': 'additive', 'seasonality_prior_scale': 0.02194308149048142}",449.05269770652444,225445.85189662897,381.21195278529547,0.20479646569243426,156.45272739698035,146797.6434289812,145.76011175948395,0.06932934524688636,Prophet
