,model,time,time (min),time (h)
0,Linear,10560.667269945145,176.0111211657524,2.9335186860958733
1,Prophet,5199.300285816193,86.65500476360322,1.444250079393387
2,LGB,20557.318774938583,342.62197958230973,5.710366326371829
