ts,value
2021-12-02 00:30:00,406592.0
2021-12-02 01:00:00,398848.0
2021-12-02 01:30:00,395200.0
2021-12-02 02:00:00,402688.0
2021-12-02 02:30:00,411072.0
2021-12-02 03:00:00,408704.0
2021-12-02 03:30:00,413120.0
2021-12-02 04:00:00,403840.0
2021-12-02 04:30:00,401408.0
2021-12-02 05:00:00,404608.0
2021-12-02 05:30:00,402048.0
2021-12-02 06:00:00,402176.0
2021-12-02 06:30:00,396608.0
2021-12-02 07:00:00,393664.0
2021-12-02 07:30:00,397952.0
2021-12-02 08:00:00,394624.0
2021-12-02 08:30:00,396352.0
2021-12-02 09:00:00,400576.0
2021-12-02 09:30:00,394240.0
2021-12-02 10:00:00,401216.0
2021-12-02 10:30:00,395840.0
2021-12-02 11:00:00,396800.0
2021-12-02 11:30:00,371200.0
2021-12-02 12:00:00,361472.0
2021-12-02 12:30:00,371456.0
2021-12-02 13:00:00,368640.0
2021-12-02 13:30:00,326400.0
2021-12-02 14:00:00,313088.0
2021-12-02 14:30:00,290816.0
2021-12-02 15:00:00,297728.0
2021-12-02 15:30:00,293888.0
2021-12-02 16:00:00,290304.0
2021-12-02 16:30:00,286976.0
2021-12-02 17:00:00,284160.0
2021-12-02 17:30:00,278272.0
2021-12-02 18:00:00,274176.0
2021-12-02 18:30:00,275456.0
2021-12-02 19:00:00,278016.0
2021-12-02 19:30:00,268288.0
2021-12-02 20:00:00,267776.0
2021-12-02 20:30:00,267008.0
2021-12-02 21:00:00,265216.0
2021-12-02 21:30:00,265216.0
2021-12-02 22:00:00,263680.0
2021-12-02 22:30:00,280064.0
2021-12-02 23:00:00,284416.0
2021-12-02 23:30:00,354496.0
2021-12-03 00:00:00,373376.0
2021-12-03 00:30:00,394560.0
2021-12-03 01:00:00,389568.0
2021-12-03 01:30:00,395520.0
2021-12-03 02:00:00,400384.0
2021-12-03 02:30:00,399744.0
2021-12-03 03:00:00,404544.0
2021-12-03 03:30:00,395264.0
2021-12-03 04:00:00,391040.0
2021-12-03 04:30:00,391872.0
2021-12-03 05:00:00,379008.0
2021-12-03 05:30:00,386304.0
2021-12-03 06:00:00,396992.0
2021-12-03 06:30:00,389824.0
2021-12-03 07:00:00,397312.0
2021-12-03 07:30:00,404736.0
2021-12-03 08:00:00,396160.0
2021-12-03 08:30:00,407104.0
2021-12-03 09:00:00,398912.0
2021-12-03 09:30:00,398016.0
2021-12-03 10:00:00,395392.0
2021-12-03 10:30:00,392384.0
2021-12-03 11:00:00,396352.0
2021-12-03 11:30:00,372736.0
2021-12-03 12:00:00,358400.0
2021-12-03 12:30:00,372224.0
2021-12-03 13:00:00,369664.0
2021-12-03 13:30:00,336896.0
2021-12-03 14:00:00,315392.0
