ts,value
2021-12-18 00:30:00,352384.0
2021-12-18 01:00:00,279840.0
2021-12-18 01:30:00,0.0
2021-12-18 02:00:00,0.0
2021-12-18 02:30:00,0.0
2021-12-18 03:00:00,0.0
2021-12-18 03:30:00,0.0
2021-12-18 04:00:00,0.0
2021-12-18 04:30:00,0.0
2021-12-18 05:00:00,0.0
2021-12-18 05:30:00,0.0
2021-12-18 06:00:00,0.0
2021-12-18 06:30:00,0.0
2021-12-18 07:00:00,0.0
2021-12-18 07:30:00,0.0
2021-12-18 08:00:00,177336.8888888889
2021-12-18 08:30:00,305024.0
2021-12-18 09:00:00,307712.0
2021-12-18 09:30:00,311424.0
2021-12-18 10:00:00,311680.0
2021-12-18 10:30:00,288704.0
2021-12-18 11:00:00,292352.0
2021-12-18 11:30:00,294400.0
2021-12-18 12:00:00,297984.0
2021-12-18 12:30:00,291072.0
2021-12-18 13:00:00,297472.0
2021-12-18 13:30:00,296704.0
2021-12-18 14:00:00,282880.0
2021-12-18 14:30:00,276480.0
2021-12-18 15:00:00,280320.0
2021-12-18 15:30:00,275712.0
2021-12-18 16:00:00,281600.0
2021-12-18 16:30:00,270336.0
2021-12-18 17:00:00,270848.0
2021-12-18 17:30:00,267520.0
2021-12-18 18:00:00,264960.0
2021-12-18 18:30:00,264704.0
2021-12-18 19:00:00,268544.0
2021-12-18 19:30:00,267264.0
2021-12-18 20:00:00,268800.0
2021-12-18 20:30:00,267520.0
2021-12-18 21:00:00,262656.0
2021-12-18 21:30:00,267520.0
2021-12-18 22:00:00,272896.0
2021-12-18 22:30:00,274944.0
2021-12-18 23:00:00,281600.0
2021-12-18 23:30:00,305280.0
2021-12-19 00:00:00,307456.0
2021-12-19 00:30:00,308480.0
2021-12-19 01:00:00,306496.0
2021-12-19 01:30:00,308608.0
2021-12-19 02:00:00,312256.0
2021-12-19 02:30:00,313536.0
2021-12-19 03:00:00,314752.0
2021-12-19 03:30:00,326592.0
2021-12-19 04:00:00,321216.0
2021-12-19 04:30:00,325440.0
2021-12-19 05:00:00,328256.0
2021-12-19 05:30:00,327936.0
2021-12-19 06:00:00,325184.0
2021-12-19 06:30:00,324992.0
2021-12-19 07:00:00,323392.0
2021-12-19 07:30:00,318912.0
2021-12-19 08:00:00,316416.0
2021-12-19 08:30:00,307200.0
2021-12-19 09:00:00,310528.0
2021-12-19 09:30:00,314624.0
2021-12-19 10:00:00,310720.0
2021-12-19 10:30:00,302336.0
2021-12-19 11:00:00,307904.0
2021-12-19 11:30:00,311552.0
2021-12-19 12:00:00,313344.0
2021-12-19 12:30:00,311808.0
2021-12-19 13:00:00,310272.0
2021-12-19 13:30:00,291840.0
2021-12-19 14:00:00,279808.0
2021-12-19 14:30:00,280320.0
2021-12-19 15:00:00,276224.0
2021-12-19 15:30:00,278272.0
2021-12-19 16:00:00,276736.0
2021-12-19 16:30:00,274944.0
2021-12-19 17:00:00,266240.0
2021-12-19 17:30:00,266752.0
2021-12-19 18:00:00,270336.0
2021-12-19 18:30:00,268800.0
2021-12-19 19:00:00,268288.0
2021-12-19 19:30:00,270080.0
2021-12-19 20:00:00,262912.0
2021-12-19 20:30:00,262912.0
2021-12-19 21:00:00,264960.0
2021-12-19 21:30:00,265984.0
2021-12-19 22:00:00,269312.0
2021-12-19 22:30:00,288256.0
2021-12-19 23:00:00,301056.0
